num_expediente,fecha,hora,localizacion,cod_distrito,distrito,tipo_accidente,estado_meteorológico,coordenada_x_utm,coordenada_y_utm,positiva_alcohol,positiva_droga,peaton_involucrado,vehiculos_involucrados,lesividad,nivel_lesividad
2025S088283,2025-08-01,13:57:00,AVDA. MONFORTE DE LEMOS / CALL. SINESIO DELGADO,8,FUENCARRAL-EL PARDO,Colisión fronto-lateral,Despejado,441544,4480704,false,false,false,"Motocicleta hasta 125cc, Turismo",Desconocido,5
2025S088291,2025-08-01,13:55:00,CALL. DEDALO,20,SAN BLAS-CANILLEJAS,Colisión fronto-lateral,Despejado,447524,4477005,false,false,false,Turismo,Desconocido,5
2025S088294,2025-08-01,13:15:00,CALL. ARTURO SORIA,15,CIUDAD LINEAL,Colisión lateral,,443550,4481399,false,false,false,"Maquinaria de obras, Turismo",Desconocido,5
2025S088295,2025-08-01,14:20:00,PASEO. INFANTA ISABEL,3,RETIRO,Colisión lateral,Despejado,441575,4473103,false,false,false,"Tractocamión, Turismo",Sin asistencia sanitaria,1
2025S088296,2025-08-01,13:50:00,CALL. ANTONIO FOLGUERAS,13,PUENTE DE VALLECAS,Choque contra obstáculo fijo,Despejado,443860,4471300,false,false,false,Camión rígido,Desconocido,5
2025S088297,2025-08-01,14:08:00,CALL. CORREGIDOR DIEGO CABEZA DE VACA,14,MORATALAZ,Colisión frontal,Despejado,444520,4473389,false,false,false,"Motocicleta hasta 125cc, Turismo",Atención en urgencias sin posterior ingreso,1
2025S088299,2025-08-01,00:05:00,AVDA. LUIS ARAGONES / CALL. ESTOCOLMO,20,SAN BLAS-CANILLEJAS,Colisión lateral,Despejado,448927,4476499,false,false,false,Turismo,Desconocido,5
2025S088311,2025-08-01,15:30:00,GTA. RUIZ JIMENEZ / CALL. ALBERTO AGUILERA,1,CENTRO,Colisión fronto-lateral,Despejado,440103,4475678,false,false,false,"Motocicleta > 125cc, Turismo",Ingreso superior a 24 horas,1
2025S088321,2025-08-01,14:25:00,CALL. MELCHOR FERNANDEZ ALMAGRO,8,FUENCARRAL-EL PARDO,Caída,Despejado,439927,4480813,false,false,false,"Motocicleta hasta 125cc, Turismo",Asistencia sanitaria sólo en el lugar del accidente,1
2025S088322,2025-08-01,15:28:00,AUTOV. A-3,14,MORATALAZ,Colisión múltiple,Despejado,445170,4472117,false,false,false,"Furgoneta, Turismo",Sin asistencia sanitaria,1
2025S088323,2025-08-01,15:50:00,AVDA. ABRANTES,11,CARABANCHEL,Colisión lateral,Despejado,438692,4470703,false,false,false,Turismo,Asistencia sanitaria inmediata en centro de salud o mutua,1
2025S088332,2025-08-01,17:45:00,AVDA. MONFORTE DE LEMOS,8,FUENCARRAL-EL PARDO,Colisión lateral,Despejado,440153,4481178,false,false,false,"Autobús, Turismo",Sin asistencia sanitaria,1
2025S088333,2025-08-01,18:30:00,CALL. CAPITAN BLANCO ARGIBAY,6,TETUÁN,Atropello a persona,Despejado,440723,4479658,false,false,true,Turismo,Asistencia sanitaria sólo en el lugar del accidente,3
2025S088334,2025-08-01,15:25:00,CALL. QUINTANAVIDES / CALL. FORESTA,8,FUENCARRAL-EL PARDO,Colisión fronto-lateral,Despejado,443333,4483275,false,false,false,"Motocicleta hasta 125cc, Turismo",Asistencia sanitaria sólo en el lugar del accidente,1
2025S088352,2025-08-01,17:30:00,CALL. PADRE LLANOS,13,PUENTE DE VALLECAS,Caída,Despejado,444370,4469399,false,false,false,VMU eléctrico,Ingreso inferior o igual a 24 horas,7
2025S088356,2025-08-01,18:20:00,PASEO. EXTREMADURA / CALL. DANTE,10,LATINA,Colisión frontal,Despejado,437054,4473437,true,false,false,Turismo,Atención en urgencias sin posterior ingreso,6
2025S088365,2025-08-01,18:40:00,IDB. LOS POBLADOS / CALL. CAZALEGAS,11,CARABANCHEL,Colisión lateral,Despejado,438671,4469479,false,false,false,"Furgoneta, Turismo",Desconocido,5
2025S088368,2025-08-01,15:00:00,CALL. ARTURO SORIA,15,CIUDAD LINEAL,Caída,Despejado,443443,4480264,false,false,false,Ciclomotor,Asistencia sanitaria sólo en el lugar del accidente,3
2025S088374,2025-08-01,19:14:00,AVDA. CARDENAL HERRERA ORIA / CALL. SAN MODESTO,8,FUENCARRAL-EL PARDO,Alcance,Despejado,440888,4482409,false,false,false,"Furgoneta, Motocicleta > 125cc",Sin asistencia sanitaria,1
2025S088397,2025-08-01,19:25:00,CALL. CORREDERA BAJA DE SAN PABLO / CALL. LUNA,1,CENTRO,Atropello a persona,Despejado,440201,4474759,false,false,true,Turismo,Sin asistencia sanitaria,1
2025S088408,2025-08-01,19:00:00,CALL. VIRGEN DE LOS DESAMPARADOS,17,VILLAVERDE,Choque contra obstáculo fijo,,440658,4466826,false,false,false,Turismo,Desconocido,5
2025S088410,2025-08-01,17:00:00,CALL. ARROYO FONTARRON,14,MORATALAZ,Colisión fronto-lateral,Despejado,444783,4472685,true,false,false,Turismo,Desconocido,5
2025S088441,2025-08-01,19:43:00,AVDA. BONN / AVDA. BRASILIA,4,SALAMANCA,Colisión lateral,,443928,4476651,false,false,false,Turismo,Sin asistencia sanitaria,1
2025S088442,2025-08-01,20:05:00,CALL. ALCALA / IDB. PUENTE DE VENTAS,4,SALAMANCA,Alcance,Despejado,443924,4475846,true,false,false,"Furgoneta, Motocicleta > 125cc",Sin asistencia sanitaria,1
2025S088443,2025-08-01,20:36:00,CALL. EMBAJADORES,13,PUENTE DE VALLECAS,Colisión frontal,Despejado,443537,4468796,false,false,false,Turismo,Desconocido,5
2025S088445,2025-08-01,20:45:00,AVDA. MONFORTE DE LEMOS / CALL. PUERTO DE MASPALOMAS,8,FUENCARRAL-EL PARDO,Colisión lateral,Despejado,439509,4481000,false,false,false,"Motocicleta > 125cc, Turismo",Ingreso superior a 24 horas,1
2025S088448,2025-08-01,21:25:00,GTA. PINTOR SOROLLA / CALL. SANTA ENGRACIA,7,CHAMBERÍ,Colisión fronto-lateral,Despejado,440733,4476267,false,false,false,Turismo,Desconocido,5
2025S088452,2025-08-01,21:30:00,AUTOV. M-30,15,CIUDAD LINEAL,Colisión lateral,,444067,4476679,false,false,false,Turismo,Sin asistencia sanitaria,1
2025S088457,2025-08-01,15:00:00,CTRA. BARRIO DE LA FORTUNA,10,LATINA,Caída,Despejado,434860,4468697,false,false,false,Motocicleta hasta 125cc,Asistencia sanitaria sólo en el lugar del accidente,3
2025S088460,2025-08-01,21:15:00,CALL. ALCALA,20,SAN BLAS-CANILLEJAS,Otro,Despejado,446640,4476811,false,false,false,Turismo,Desconocido,5
2025S088462,2025-08-01,22:37:00,CALL. EDUARDO BARREIROS / CALL. SANTA ESCOLASTICA,17,VILLAVERDE,Caída,Despejado,440568,4468240,false,false,false,VMU eléctrico,Atención en urgencias sin posterior ingreso,6
2025S088464,2025-08-01,11:30:00,CALL. PIÑUECAR / CALL. BASCUÑUELOS,17,VILLAVERDE,Colisión fronto-lateral,Despejado,439029,4465481,false,false,false,"Furgoneta, Turismo",Sin asistencia sanitaria,1
2025S088465,2025-08-01,22:52:00,CALL. VALLE DE TOBALINA / CALL. CIUDAD DE FRIAS,17,VILLAVERDE,Atropello a persona,Despejado,439385,4465844,false,true,true,Turismo,Sin asistencia sanitaria,1
2025S088466,2025-08-01,22:45:00,CALL. ZAIDA,11,CARABANCHEL,Alcance,Despejado,437586,4471487,false,false,false,"Motocicleta > 125cc, Turismo",Sin asistencia sanitaria,1
2025S088480,2025-08-01,22:55:00,PK 20,9,MONCLOA-ARAVACA,Choque contra obstáculo fijo,Despejado,437406,4476193,false,false,false,Turismo,Ingreso inferior o igual a 24 horas,7
2025S088496,2025-08-01,22:40:00,GTA. ARCENTALES / AVDA. ARCENTALES,20,SAN BLAS-CANILLEJAS,Colisión fronto-lateral,Despejado,449335,4475709,false,false,false,"Furgoneta, Turismo",Sin asistencia sanitaria,1
2025S088608,2025-08-01,23:00:00,CALL. ORENSE,6,TETUÁN,Colisión fronto-lateral,Despejado,441123,4478931,false,false,false,Turismo,Desconocido,5
2025S088710,2025-08-01,18:30:00,CALL. CEA BERMUDEZ,7,CHAMBERÍ,Colisión lateral,Despejado,439739,4476715,false,false,false,"Furgoneta, Motocicleta hasta 125cc",Desconocido,5
2025S088522,2025-08-02,01:58:00,CALL. GENERAL PARDIÑAS / CALL. AYALA,4,SALAMANCA,Atropello a persona,Despejado,442450,4475431,false,false,true,Turismo,Sin asistencia sanitaria,1
2025S088558,2025-08-02,03:20:00,CALL. FERROVIARIOS / CALL. JULIO MERINO,12,USERA,Colisión fronto-lateral,Despejado,440192,4470505,false,false,false,"Furgoneta, VMU eléctrico",Sin asistencia sanitaria,1
2025S088597,2025-08-02,03:20:00,PASEO. CASTELLANA / CALL. JOAQUIN COSTA,5,CHAMARTÍN,Solo salida de la vía,Despejado,441415,4477564,true,false,false,Todo terreno,Desconocido,5
2025S088639,2025-08-02,07:00:00,CALL. DUQUESA DE PARCENT,10,LATINA,Alcance,Despejado,436538,4471912,false,false,false,"Todo terreno, Turismo",Asistencia sanitaria sólo en el lugar del accidente,3
2025S088640,2025-08-02,08:30:00,CALL. LA ACEBEDA / CALL. VALLE DE TOBALINA,17,VILLAVERDE,Choque contra obstáculo fijo,Despejado,439233,4465835,true,false,false,Turismo,Sin asistencia sanitaria,1
2025S088657,2025-08-02,08:45:00,CALL. CAMPEZO,20,SAN BLAS-CANILLEJAS,Choque contra obstáculo fijo,Despejado,450552,4477189,true,false,false,Turismo,Desconocido,5
2025S088679,2025-08-02,09:00:00,AVDA. PABLO NERUDA,13,PUENTE DE VALLECAS,Colisión fronto-lateral,,445241,4471041,false,false,false,"Furgoneta, Turismo",Desconocido,5
2025S088680,2025-08-02,10:45:00,PLAZA. ENCUENTRO,14,MORATALAZ,Alcance,,444700,4472948,true,false,false,Turismo,Sin asistencia sanitaria,1
2025S088691,2025-08-02,10:50:00,CALL. ARROYO DEL OLIVAR / CALL. PUERTO DE CARDOSO,13,PUENTE DE VALLECAS,Choque contra obstáculo fijo,Despejado,444523,4471085,false,false,false,Turismo,Asistencia sanitaria sólo en el lugar del accidente,3
2025S088693,2025-08-02,12:45:00,PASEO. CASTELLANA / CALL. MARIA DE MOLINA,5,CHAMARTÍN,Colisión fronto-lateral,Despejado,441467,4476606,false,false,false,"Motocicleta > 125cc, Turismo",Asistencia sanitaria sólo en el lugar del accidente,1
2025S088699,2025-08-02,12:55:00,AVDA. LEGAZPI MERCAMADRID / CALL. CUARENTA Y CUATRO MERCAMADRID,18,VILLA DE VALLECAS,Colisión fronto-lateral,,443995,4468090,false,false,false,"Camión rígido, Turismo",Sin asistencia sanitaria,1
2025S088703,2025-08-02,12:48:00,AVDA. BRUSELAS / CALL. BOLONIA,4,SALAMANCA,Caída,Despejado,443772,4476749,false,false,false,"Bicicleta EPAC (pedaleo asistido), Motocicleta hasta 125cc",Sin asistencia sanitaria,1
2025S088704,2025-08-02,14:00:00,CALL. BRAVO MURILLO,6,TETUÁN,Alcance,Despejado,440334,4477821,false,false,false,Turismo,Desconocido,5
2025S088705,2025-08-02,14:05:00,CALL. SAN MAMES / CALL. EL BERRUECO,17,VILLAVERDE,Colisión fronto-lateral,Despejado,439114,4465337,true,false,false,"Turismo, VMU eléctrico",Sin asistencia sanitaria,1
2025S088706,2025-08-02,14:35:00,AVDA. ALBUFERA / CALL. MONTE ULIA,13,PUENTE DE VALLECAS,Colisión fronto-lateral,Despejado,443221,4472166,false,false,true,"Motocicleta hasta 125cc, Turismo",Sin asistencia sanitaria,1
2025S088707,2025-08-02,15:05:00,CALL. COLOMBIA,5,CHAMARTÍN,Colisión fronto-lateral,,442542,4478712,false,false,false,Turismo,Desconocido,5
2025S088711,2025-08-02,15:30:00,CALL. VALDECANILLAS,20,SAN BLAS-CANILLEJAS,Colisión fronto-lateral,Despejado,447101,4476022,false,false,false,Turismo,Desconocido,5
2025S088713,2025-08-02,16:40:00,AUTOV. A-5,10,LATINA,Choque contra obstáculo fijo,Despejado,435487,4472655,true,false,false,Turismo,Desconocido,5
